FCH35N5BBXX-wHAXPI020695-103_L2_2.fq,1000,0.62,0.59,0.68,0.79,0.59,0.58,0.62,0.59
FCH35N5BBXX-wHAXPI020695-103_L2_2.fq,5000,0.6,0.6,0.67,0.78,0.59,0.57,0.62,0.58
FCH35N5BBXX-wHAXPI020695-103_L2_2.fq,10000,0.62,0.61,0.68,0.79,0.6,0.58,0.63,0.59
FCH35N5BBXX-wHAXPI020695-103_L2_2.fq,50000,0.61,0.6,0.67,0.78,0.59,0.57,0.62,0.59
FCH35N5BBXX-wHAXPI020695-103_L2_2.fq,100000,0.62,0.61,0.68,0.79,0.6,0.58,0.62,0.59
FCH35N5BBXX-wHAXPI020696-106_L2_1.fq,500,0.67,0.67,0.77,0.9,0.65,0.63,0.69,0.64
FCH35N5BBXX-wHAXPI020696-106_L2_1.fq,1000,0.66,0.65,0.74,0.9,0.65,0.63,0.66,0.64
FCH35N5BBXX-wHAXPI020696-106_L2_1.fq,5000,0.66,0.67,0.74,0.9,0.66,0.63,0.67,0.64
FCH35N5BBXX-wHAXPI020696-106_L2_1.fq,10000,0.66,0.67,0.75,0.9,0.66,0.64,0.68,0.64
FCH35N5BBXX-wHAXPI020696-106_L2_1.fq,50000,0.66,0.67,0.75,0.91,0.67,0.64,0.69,0.64
FCH35N5BBXX-wHAXPI020696-106_L2_1.fq,100000,0.66,0.67,0.75,0.91,0.67,0.64,0.69,0.64
FCH35N5BBXX-wHAXPI020696-106_L2_2.fq,500,0.6,0.61,0.68,0.81,0.59,0.57,0.61,0.59
FCH35N5BBXX-wHAXPI020696-106_L2_2.fq,1000,0.59,0.6,0.65,0.8,0.59,0.57,0.62,0.58
FCH35N5BBXX-wHAXPI020696-106_L2_2.fq,5000,0.6,0.61,0.68,0.82,0.61,0.58,0.62,0.58
FCH35N5BBXX-wHAXPI020696-106_L2_2.fq,10000,0.61,0.62,0.69,0.82,0.61,0.59,0.63,0.59
FCH35N5BBXX-wHAXPI020696-106_L2_2.fq,50000,0.6,0.61,0.68,0.82,0.61,0.58,0.62,0.59
FCH35N5BBXX-wHAXPI020696-106_L2_2.fq,100000,0.6,0.61,0.67,0.81,0.6,0.58,0.62,0.58
FCH35N5BBXX-wHAXPI020697-108_L2_1.fq,500,0.6,0.58,0.65,0.57,0.58,0.55,0.88,0.57
FCH35N5BBXX-wHAXPI020697-108_L2_1.fq,1000,0.61,0.59,0.66,0.57,0.59,0.54,0.89,0.57
FCH35N5BBXX-wHAXPI020697-108_L2_1.fq,5000,0.6,0.58,0.65,0.56,0.58,0.55,0.88,0.57
FCH35N5BBXX-wHAXPI020697-108_L2_1.fq,10000,0.61,0.59,0.66,0.57,0.59,0.56,0.9,0.58
FCH35N5BBXX-wHAXPI020697-108_L2_1.fq,50000,0.62,0.6,0.67,0.58,0.59,0.57,0.9,0.59
FCH35N5BBXX-wHAXPI020697-108_L2_1.fq,100000,0.61,0.6,0.67,0.58,0.59,0.56,0.9,0.58
FCH35N5BBXX-wHAXPI020697-108_L2_2.fq,500,0.55,0.54,0.6,0.52,0.53,0.51,0.83,0.53
FCH35N5BBXX-wHAXPI020697-108_L2_2.fq,1000,0.58,0.56,0.64,0.54,0.55,0.53,0.84,0.54
FCH35N5BBXX-wHAXPI020697-108_L2_2.fq,5000,0.55,0.54,0.6,0.52,0.53,0.5,0.82,0.52
FCH35N5BBXX-wHAXPI020697-108_L2_2.fq,10000,0.56,0.55,0.61,0.53,0.55,0.52,0.83,0.53
FCH35N5BBXX-wHAXPI020697-108_L2_2.fq,50000,0.56,0.54,0.61,0.52,0.54,0.51,0.82,0.53
FCH35N5BBXX-wHAXPI020697-108_L2_2.fq,100000,0.55,0.54,0.6,0.52,0.53,0.51,0.81,0.52
FCH35N5BBXX-wHAXPI020698-109_L2_1.fq,500,0.83,0.61,0.7,0.56,0.6,0.58,0.62,0.6
FCH35N5BBXX-wHAXPI020698-109_L2_1.fq,1000,0.82,0.62,0.71,0.58,0.6,0.58,0.6,0.58
FCH35N5BBXX-wHAXPI020698-109_L2_1.fq,5000,0.88,0.64,0.75,0.61,0.62,0.61,0.65,0.62
FCH35N5BBXX-wHAXPI020698-109_L2_1.fq,10000,0.89,0.65,0.75,0.62,0.64,0.62,0.66,0.63
FCH35N5BBXX-wHAXPI020698-109_L2_1.fq,50000,0.89,0.65,0.76,0.62,0.64,0.62,0.66,0.63
FCH35N5BBXX-wHAXPI020698-109_L2_1.fq,100000,0.89,0.65,0.76,0.62,0.64,0.62,0.66,0.63
FCH35N5BBXX-wHAXPI020698-109_L2_2.fq,500,0.83,0.61,0.7,0.56,0.6,0.58,0.62,0.6
FCH35N5BBXX-wHAXPI020698-109_L2_2.fq,1000,0.82,0.62,0.71,0.58,0.6,0.58,0.6,0.58
FCH35N5BBXX-wHAXPI020698-109_L2_2.fq,5000,0.88,0.64,0.75,0.61,0.62,0.61,0.65,0.62
